Operation,Energy,Time,Power
select,16.8790914,3225042,5.233758630120166
select,43.76185625,9453708,4.629067901187555
select,90.75898320000002,12286292,7.387011736331842
select,118.78135785000002,16664709,7.127718692837663
create,29.312078999999997,3756708,7.802597114281971
select,3.451047625,1509125,2.2867871283028243
select,6.1439783,636833,9.64770716969755
select,1.8245766,375000,4.865537600000001
select,2.6522213750000003,399250,6.643009079524109
select,2.7803552500000004,326916,8.504800162732936
select,2.851639733333333,1320125,2.1601285736830476
select,3.41156125,464875,7.338663619252487
select,3.9301542333333335,440417,8.923711467389618
select,5.7036999,424833,13.42574588132278
select,6.1084598,406792,15.01617485102952
select,6.5929949,710583,9.27828965792877
select,18.5023808,5438625,3.402032829989198
insert,3.094068,265208,11.666571144158548
insert,5.0512741000000005,384083,13.151516989817306
select,1.7961666499999998,559875,3.208156552801964
select,1.382313975,680750,2.030575064267352
select,2.5345383500000005,507542,4.993750960511644
select,2.819861999999999,559291,5.041851200895418
select,3.3417487250000004,554417,6.027500464451848
select,3.4928588500000006,343167,10.178306334816577
select,4.7201537,555834,8.492020459345776
select,6.785217850000001,633500,10.710683267561171
insert,2.784581625000001,328291,8.482052889052703
select,48.92689534999998,13511459,3.621140792419233
replace,119.1968419750001,41921583,2.843328744885423
drop,0.9512025000000002,507125,1.8756766083312795
drop,0.9514573000000001,518834,1.8338376050914167
drop,0.99369985,561041,1.7711715364830736
drop,1.18636005,637208,1.8618097230417698
drop,1.19661985,749667,1.5962018469533807
drop,1.2173328,685291,1.7763735405834895
drop,1.23493475,637458,1.9372801815962777
drop,1.66101835,867375,1.9149944948839892
drop,1.6854899,1103416,1.5275199018321288
drop,1.8468994500000002,543833,3.396078299772173
drop,1.8903567,542667,3.483456152668211
drop,1.9211101,589333,3.259804049662924
drop,1.9391794500000001,541458,3.5814032667353706
drop,1.9607906000000002,546250,3.5895480091533183
drop,1.961358,550417,3.563403746613931
drop,1.9756745,555292,3.5579019686939484
drop,1.9861913,527625,3.764399526178631
drop,2.0106554,394041,5.102655307442627
drop,2.0225124,537708,3.761358209288313
drop,2.0579139000000004,1691458,1.2166509011751994
drop,2.22136615,392791,5.6553387170276315
drop,2.2988739000000002,1706125,1.3474240750238116
drop,2.4135695,679667,3.551105909217308
drop,2.4217752,1707416,1.4183861460827354
drop,2.5468586,568666,4.478654605691214
drop,2.5768520500000003,555750,4.636710841205579
drop,2.5785006500000005,398875,6.464432842369164
drop,2.6790389500000003,461875,5.800354966170501
drop,2.6799969,444000,6.036029054054054
drop,2.6847414,402375,6.6722370922646785
drop,2.7066120000000007,395334,6.8463931764027395
drop,2.7259995000000004,388833,7.01072054069485
drop,2.7691588000000005,533667,5.188926427903543
drop,2.7732275500000005,415000,6.682476024096387
drop,2.81121095,410959,6.840611715523933
drop,2.8230827500000006,390459,7.230164370650953
drop,2.888841,799417,3.613684722741698
drop,2.9006541,828875,3.4995072839692356
drop,2.9079162,832625,3.492468037832157
drop,2.98019265,582250,5.118407299270074
drop,2.9861453000000004,622416,4.7976679584072395
drop,3.1484418499999998,781541,4.028505030446259
drop,3.2129081,656875,4.8912016745956235
drop,3.23201865,562458,5.746239985918948
drop,3.2854781500000003,1023083,3.2113505453614226
drop,3.29947795,758542,4.349763032238163
drop,3.3429044000000006,766167,4.3631537249711885
drop,3.3475859999999997,440542,7.598789672721328
drop,3.47251675,1026292,3.3835562880739594
drop,3.4917961,906375,3.852485008964281
drop,3.50442725,540125,6.488178199490859
drop,3.50442725,570625,6.141384008762322
drop,3.54681795,418834,8.468314296356073
drop,3.6261624500000007,761792,4.760042701944888
drop,3.7033277500000006,420500,8.806962544589775
drop,3.7224153500000003,679500,5.478168285504048
drop,3.8115162,754834,5.049476043739418
drop,3.8884737000000005,995250,3.907032102486813
drop,3.9126391000000003,739541,5.290631756724779
drop,4.028237600000001,676209,5.957089598038477
drop,4.0390571500000005,781250,5.169993152000001
drop,4.0871038,741584,5.511316047811172
drop,4.13984395,632625,6.543914562339459
drop,4.1415748,680208,6.08868875402818
drop,4.1566311,1161792,3.5777756259295983
drop,4.19032675,1101666,3.803627188276664
drop,4.19923645,752084,5.583467338754714
drop,4.21636785,759042,5.55485447445596
drop,4.43564935,700041,6.336270804138615
drop,4.502127000000001,1109791,4.056734105791091
drop,4.51848285,946833,4.772206767191257
drop,4.55166165,815042,5.584573126292877
drop,4.8038246000000004,947542,5.0697748490304395
drop,4.8068670000000004,953584,5.040842757428816
drop,4.917460800000001,1049250,4.686643602573267
drop,4.9764475500000005,835041,5.959524801776201
drop,5.1786975,1050792,4.928375453943311
drop,5.29559635,1141750,4.638140004379243
drop,5.305116650000001,1090875,4.863175570069899
drop,5.350912350000001,961625,5.5644480436760695
drop,5.47594105,1092791,5.010968291283512
drop,5.9109422,1136708,5.200053311844379
drop,7.1347315500000015,970083,7.354764025346286
drop,7.5706033500000025,1278333,5.922246668121688
drop,7.5766037,1365208,5.549779740523055
drop,7.79871625,983333,7.930900569796803
drop,8.102131,1213958,6.674144410267901
drop,8.21373905,881917,9.313505749407256
drop,8.264904300000001,1154750,7.15731050010825
drop,8.29929545,903333,9.187415327459531
drop,8.618612650000001,1716375,5.021404209453062
drop,8.8313889,815792,10.825539966069783
drop,9.0037726,1271875,7.079133248157248
drop,9.0533417,1605584,5.638659640355161
drop,9.50069955,1148250,8.27406884389288
drop,10.6408593,2194375,4.8491526288806615
drop,11.0364281,1654542,6.670382559040507
drop,14.94929755,2109917,7.0852538512178445
drop,55.90069910000001,11792959,4.740175820165237
drop,76.14611905000001,12395292,6.143148467176087
drop,80.75455390000002,14449958,5.588566686491409
drop,81.02250075,18154292,4.46299424675994
drop,85.06172280000001,10728709,7.928421098941169
drop,89.26915235000003,14002750,6.375115770116586
drop,90.23145645,11417333,7.903023976790377
drop,96.17538360000002,15704084,6.124227532150237
drop,97.56145625000002,14332292,6.807107771038995
drop,101.62559560000003,14707833,6.909623980636714
drop,106.10387209999999,14015167,7.5706462934048515
drop,111.75770165,14743500,7.580133730118358
drop,165.82450920000002,20622583,8.0409185018191
drop,249.86806760000013,52635125,4.747173443589241
drop,377.23982399999994,48918584,7.711585110476623
select,5.8419439749999995,1639375,3.5635190087685853
vacuum,8.998585550000001,4666375,1.9283888564463851
vacuum,11.490581050000001,5904667,1.9460167779148259
vacuum,118.89920395,28670375,4.147110177317178
vacuum,134.493368,22681875,5.929552473064947
vacuum,487.80898290000005,79487208,6.136949518971657
