Current app: com.kmart.android	non-overlapping apis #: 283	 all apis #: 292
Current app: shipmate.carnival	non-overlapping apis #: 278	 all apis #: 278
Current app: com.gm.chevrolet.nomad.ownership	non-overlapping apis #: 53	 all apis #: 53
Current app: com.trackview	non-overlapping apis #: 51	 all apis #: 51
Current app: com.decoypro.hogcallsaustrailia	non-overlapping apis #: 82	 all apis #: 82
Current app: com.jb.gokeyboard.theme.ztaztec2.getjar	non-overlapping apis #: 12	 all apis #: 1127
Current app: com.noodlecake.altosadventure	non-overlapping apis #: 1	 all apis #: 1
Current app: com.cx3tech.deadfob	non-overlapping apis #: 513	 all apis #: 513
Current app: com.kenzap.checklist	non-overlapping apis #: 160	 all apis #: 160
Current app: com.rcplatform.nocrop	non-overlapping apis #: 648	 all apis #: 648
Current app: com.app.skincareschedule	non-overlapping apis #: 162	 all apis #: 162
Current app: cute.girl.lovely.baby	non-overlapping apis #: 51	 all apis #: 51
Current app: com.microsoft.office.officehub	non-overlapping apis #: 1	 all apis #: 1
Current app: video.player.audio.player.music	non-overlapping apis #: 51	 all apis #: 55
Current app: com.daystar	non-overlapping apis #: 312	 all apis #: 312
Current app: chatapp.europechat	non-overlapping apis #: 21	 all apis #: 21
Current app: com.cyou.cma.clauncher.theme.v53be0328ef7919e33c3c6f1d	non-overlapping apis #: 54	 all apis #: 54
Current app: com.dynamixsoftware.printhand	non-overlapping apis #: 95	 all apis #: 95
Current app: com.workshophk.t2r4cmecy	non-overlapping apis #: 29	 all apis #: 29
Current app: com.launcher.theme.t205104670	non-overlapping apis #: 51	 all apis #: 51
Current app: com.herman.ringtone	non-overlapping apis #: 90	 all apis #: 90
Current app: com.keyboard.go.black	non-overlapping apis #: 51	 all apis #: 51
Current app: com.jb.gokeyboard.theme.ztlove.getjar	non-overlapping apis #: 13	 all apis #: 1076
Current app: com.medisafe.android.client	non-overlapping apis #: 2741	 all apis #: 4879
Current app: com.pulserasdegomitas	non-overlapping apis #: 132	 all apis #: 132
Current app: net.daylio	non-overlapping apis #: 912	 all apis #: 1057
Current app: com.zinio.mobile.android.libraries	non-overlapping apis #: 11	 all apis #: 33
Current app: com.Mobile.Location	non-overlapping apis #: 11	 all apis #: 11
Current app: com.picsart.draw	non-overlapping apis #: 48	 all apis #: 48
Current app: com.psafe.msuite	non-overlapping apis #: 605	 all apis #: 675
Current app: com.enlightment.voicecallrecorder	non-overlapping apis #: 29	 all apis #: 29
Current app: com.peoplematter.android	non-overlapping apis #: 94	 all apis #: 94
Current app: pl.dtm.vremote	non-overlapping apis #: 1	 all apis #: 1
Current app: com.kaushal.androidstudio	non-overlapping apis #: 10	 all apis #: 10
Current app: com.parkme.consumer	non-overlapping apis #: 646	 all apis #: 731
Current app: net.orizinal.subway	non-overlapping apis #: 928	 all apis #: 1000
Current app: vault.gallery.lock	non-overlapping apis #: 108	 all apis #: 116
Current app: com.ikeyboard.theme.Icycles	non-overlapping apis #: 124	 all apis #: 124
Current app: com.leotheme.lilac.lavender.purple.flower	non-overlapping apis #: 51	 all apis #: 51
Current app: lt.noframe.fieldsareameasure	non-overlapping apis #: 79	 all apis #: 97
Current app: com.yoinsapp	non-overlapping apis #: 1110	 all apis #: 1110
Current app: com.greatcall.urgentcare	non-overlapping apis #: 48	 all apis #: 48
Current app: com.steam.photoeditor.extra.sticker.free.sixpackabs	non-overlapping apis #: 11	 all apis #: 1420
Current app: com.huawei.bone	non-overlapping apis #: 313	 all apis #: 389
Current app: com.alpinereplay.android	non-overlapping apis #: 1	 all apis #: 1
Current app: com.beakerapps.instameter2	non-overlapping apis #: 10	 all apis #: 10
